system:index,B1,B11,B12,B2,B3,B4,B5,B8,B4/B11+B12,B3/B5,B2+b3/B1+B2+B4,B3+B5/B1+B4,B3/(b1+b4),B12/B11,B11/B12,B3/B4,B4/B3,B4/B1,(B3+B4)/B3,(B2+B3)/(B1+B4),DQO_TOT,P_TOT,pH_CAMPO,OD_mg/L,TURBIEDAD,SST,SDT,COLOR_VER,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,n_images,nombre,range_end,range_start,target_date,.geo
3_2,0.139500007,0.154200003,0.089699998,0.122000001,0.113700002,0.100599997,0.1074,0.239700004,0.41246411,1.05865924,0.65092516,0.920866302,0.597477695,0.581712043,0.904669291,1.130218749,0.884784473,1.121516147,1.884784473,1.238570729,11,0.053684,7.8,7.52,14,14,2540.8,13,0.112017,0.091011,3.742595,1.765071,5.710694,1.877088,2,Punto_3,7/24/2016,5/24/2016,6/23/2016,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
4_2,0.136299998,0.156499997,0.084100001,0.116499998,0.111299999,0.108400002,0.101499997,0.227300003,0.45054033,1.096551746,0.630675522,0.869636275,0.578181805,0.537380206,0.87092652,1.026752739,0.973944322,1.288941753,1.848777367,1.240016157,78.68,2.284455,7.9,6.49,19,22,890.24,40,12.115935,1.035021,2.048602,2.612333,17.811891,14.728268,2,Punto_3,8/26/2016,6/26/2016,7/26/2016,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
5_2,0.139400005,0.1149,0.055599999,0.106899999,0.093400002,0.066399999,0.081699997,0.170599997,0.389442811,1.143206912,0.640550043,0.850826021,0.578181805,0.48389903,0.87092652,1.026752739,0.973944322,1.288941753,1.973944322,1.18337659,29.49,3.12567,7.8,8.15,15,17,1237.76,18,11.762973,0.227063,6.724592,0.644497,19.359125,12.40747,2,Punto_3,10/5/2016,8/5/2016,9/4/2016,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
6_2,0.135499999,0.1065,0.056600001,0.101400003,0.085199997,0.069700003,0.0867,0.094899997,0.427345202,0.982698927,0.608610558,0.837719276,0.765573798,0.531455407,1.213228937,1.406626551,0.710920748,1.194244614,1.710920748,1.641803315,211.8,5.46048,7.5,8.11,85,120,2195.2,60,11.19543,3.4161,3.11592,7.05136,24.77881,18.24679,3,Punto_3,3/25/2017,1/23/2017,2/22/2017,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
7_2,0.135499999,0.112099998,0.056600001,0.106600001,0.101199999,0.0823,0.092699997,0.204699993,0.487848255,1.091693663,0.640567203,0.890266288,0.67458428,0.50490635,1.272300462,1.222381543,0.818075179,1.231448795,1.818075179,1.477434637,165.29,4.20505,7.7,6.3,90,124,1516.8,70,18.33103,3.15498,2.82137,10.33882,34.6462,28.66985,3,Punto_3,5/5/2017,3/5/2017,4/4/2017,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
8_2,0.158849999,0.180549994,0.132400006,0.139699996,0.126249999,0.108900003,0.119199999,0.247700006,0.34797892,1.059144297,0.652718114,0.916713334,0.728581706,0.733314929,1.20874221,1.229647626,0.81324111,1.454063584,1.81324111,1.496040317,46.12,3.96423,7.7,7.21,20,22,1369.6,40,3.44682,0.36367,16.38479,1.61786,21.81314,5.06468,2,Punto_3,6/16/2017,4/16/2017,5/16/2017,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
9_2,0.162750006,0.176850006,0.129250005,0.139400005,0.123099998,0.10915,0.119549997,0.227599993,0.356582803,1.029694693,0.638220267,0.892423648,0.5232076,0.730845352,0.879811711,1.159320433,0.86257429,0.822507539,1.86257429,1.102154928,114.14,2.47881,7.5,4.62,50,58.67,1233.28,40,7.98699,1.25613,9.45815,3.14036,21.84163,11.12735,2,Punto_3,7/28/2017,5/28/2017,6/27/2017,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
10_2,0.131899998,0.098300003,0.048700001,0.095399998,0.078599997,0.059900001,0.076399997,0.086400002,0.407482988,1.028795813,0.605849572,0.808133447,0.51635904,0.495422175,0.920271418,1.127805751,0.886677514,0.844487395,1.886677514,1.101090594,64.45,2.4798,7.6,7.06,50,55.5,1075.84,25,5.001161,0.181926,10.424929,3.211798,18.819814,8.212959,1,Punto_3,9/8/2017,7/9/2017,8/8/2017,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
11_2,0.143150002,0.093999997,0.050050002,0.111649998,0.099150002,0.081799999,0.098350003,0.136299998,0.567858381,1.0081342,0.626262628,0.877972904,0.723756865,0.532446844,1.341810724,1.312186911,0.762086553,1.229979453,1.762086553,1.602209872,239.85,6.94555,7.5,7.121,130,163,1110.4,60,28.04398,0.02495,0.3277,5.27636,33.67299,33.32034,4,Punto_3,10/19/2017,8/19/2017,9/18/2017,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
12_2,0.139349997,0.0836,0.050650001,0.10255,0.079499997,0.064049996,0.081249997,0.079400003,0.477094945,0.97846154,0.595031871,0.790314648,0.751990911,0.605861254,1.522872411,1.212102731,0.825012579,1.63436556,1.825012579,1.598786491,67.16,1.27626,7.6,6.98,17,23.7,1472,30,9.003569,0.183853,10.536886,1.54898,21.273288,10.552549,5,Punto_3,3/11/2018,1/9/2018,2/8/2018,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
13_2,0.133550003,0.086099997,0.048450001,0.098049998,0.082099997,0.068700001,0.08145,0.078749999,0.510590872,1.007980308,0.599900078,0.808652627,0.693112461,0.562717795,1.666866002,1.241217824,0.805660361,1.264560626,1.805660361,1.587183975,96.15,5.20922,8.2,10.21,40,59,1043.84,40,9.744357,0.401679,6.948036,9.9171,27.011172,19.661457,5,Punto_3,4/13/2018,2/11/2018,3/13/2018,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
14_2,0.168899998,0.114600003,0.061700001,0.136299998,0.120200001,0.089900002,0.101800002,0.2095,0.509926261,1.180746544,0.649202733,0.857805266,0.700810889,0.538394414,1.551103456,1.195050884,0.836784453,1.417956653,1.836784453,1.537772026,51.2,2.12648,8.3,9.15,21,19.33,1523.2,20,19.330729,0.567854,5.809398,0,25.707981,19.330729,4,Punto_3,5/27/2018,3/27/2018,4/26/2018,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
